var_name;ref_name;comment
sup_HPan_ind;-;
top_ALDAutr_ind;-;
sup_ALDAutr_0_ind;-;
sup_ALDAutr_2_ind;-;
sup_ALDAutr_4_ind;-;
sup_ALDAutr_10_ind;-;
sup_ALDAutr_19_ind;-;
sup_ALDAutr_23_ind;-;
sup_ALDAutr_26_ind;-;
sup_ALDAutr_29_ind;-;
sup_ALDAutr_30_ind;-;
sup_ALDAutr_31_ind;-;
sup_ALDAutr_32_ind;-;
sup_Patho_cat_exclu;-;
sup_Patho_cat_nnexclu;-;
top_Materni_ind;-;
sup_Materni_ind_exclu;-;
sup_PatMat_cat;-;
sup_hospit_ponct;-;
sup_hospit_ponct_exclu;-;
sup_PatMatHos_cat;-;
sup_Petit_Conso;-;
sup_Arthros_med;-;
sup_AINS_med;-;
sup_Antalg_med;-;
sup_ACorti_med;-;
sup_Arthros_med_nnexclu;-;
sup_AINS_med_nnexclu;-;
sup_Antalg_med_nnexclu;-;
sup_ACorti_med_nnexclu;-;
sup_Petit_Conso_exclu;-;
sup_PopTot_cat;-;
version;-;
DTE_MOI_FIN;-;
DTE_ANN_TRT;-;
PFS_PFS_NUM;-;
TRT_SNI_COD;-;
IPP_IDV_NUM;-;
IPP_SEX_COD;-;
IPP_ANN_NAI;-;
CAI_NUM;-;
ACT_CAB_COD;-;
T733_CTR_NUM;-;
PFS_PRA_SPE;-;
CES_CES_COD;-;
PRA_MEP_COD;-;
CNV_CNV_COD;-;
PRA_IDP_DDP;-;
PRA_IDP_SAL;-;
EXC_EXC_NAT;-;
STA_PFS_NUM;-;
STA_CAI_NUM;-;
STA_CTR_NUM;-;
T733_STA_URC;-;
FIS_PFS_NUM;-;
FIS_CAI_NUM;-;
FIS_URC_COD;-;
PFS_ACP_DSD;-;
EXC_EFF_DSD;-;
EXC_FIN_MTF;-;
PFS_INS_DSD;-;
PRA_SAL_SPE1;-;
PRA_SAL_SPE2;-;
PRA_SAL_SPE3;-;
PRA_SAL_SPE4;-;
PRA_SAL_SPE5;-;
PRA_SAL_SPE6;-;
PRA_DIP_NBR;-;
PRA_SAL_NBR;-;
PFS_SPE_ANT;-;
PFS_AMB_NBR;-;
PFS_VSL_NBR;-;
PFS_TXI_NBR;-;
PRA_TOP_REF;-;
CAB_REF_DSD;-;
CAB_REF_DSF;-;
LAB_CAT_COD;-;
PRA_CIV_COD;-;
PFS_EXC_COM;-;
PFS_COD_POS;-;
PFS_LIB_COM;-;
PFS_FIN_NUM;-;
PFS_MAJ_DAT;-;
PFS_SCN_COD;-;
ACV_ACT;-;
ANP_ACT;-;
CDC_ACT;-;
CMP_DAT;-;
DOC_ACT;-;
ENT_DAT_DEL;-;
ETA_NUM;-;
EXT_PMSI;-;
MOD_ACT;-;
NBR_EXE_ACT;-;
PHA_ACT;-;
REM_EXP_ACT;-;
RSA_NUM;-;
RSS_NUM;-;
AGE_ANN;-;
AGE_GES;-;
AGE_JOU;-;
ANT_SUP_NBR;-;
AUT_PGV_NBR;-;
BDI_COD;-;
BDI_DEP;-;
BEB_SEJ;-;
BEH_NBJ;-;
CAI_SUP_NBR;-;
COD_SEX;-;
DEL_REG_ENT;-;
DGN_PAL;-;
DGN_REL;-;
DOS_TYP;-;
ENT_MOD;-;
ENT_PRV;-;
EXB_NBJ;-;
GHS_9615_ACT;-;
GHS_HS_INNOV;-;
GHS_NUM;-;
GRC_GHM;-;
GRC_RET;-;
GRC_VER;-;
GRG_GHM;-;
GRG_RET;-;
GRG_VER;-;
INNOV_NUM;-;
MACH_TYP_RAD;-;
NBR_ACT;-;
NBR_DGN;-;
NBR_RUM;-;
NBR_SEA;-;
NBR_SUP_NN1;-;
NBR_SUP_NN2;-;
NBR_SUP_NN3;-;
NBR_SUP_REA;-;
NBR_SUP_REP;-;
NBR_SUP_SOI;-;
NBR_SUP_SRC;-;
NBR_SUP_STF;-;
PAS_LIT_DED;-;
PLO_ACT;-;
POI_NAI;-;
RTH_SUP_NBR;-;
SEJ_COD_CONF;-;
SEJ_NBJ;-;
SEJ_TYP;-;
SEQ_RUM;-;
SOR_ANN;-;
SOR_DES;-;
SOR_MOD;-;
SOR_MOI;-;
SUP_ENT_DPA;-;
SUP_ENT_DPC;-;
SUP_ENT_HEM;-;
SUP_HEM_HS;-;
SUP_RAD_PED;-;
TAR_SEQ_NUM;-;
TOP_AVASTIN;-;
TOP_DEF_CARD;-;
TOP_GHS_MIN_SUS;-;
TOP_VLV_AOR;-;
TYP_GEN_RSA;-;
UHCD_TOP;-;
COH_NAI_RET;-;
COH_SEX_RET;-;
DAT_RET;-;
ENT_DAT;-;
ETA_NUM_RET;-;
FHO_RET;-;
FOR_NUM;-;
HOS_NN_MAM;-;
HOS_NNE_RET;-;
HOS_ORG_RET;-;
HOS_PLO;-;
NAI_RET;-;
NIR_ANO_17;-;
NIR_ANO_MAM;-;
NIR_RET;-;
NUM_DAT_AT;-;
NUM_DAT_AT_RET;-;
ORG_CPL_NUM;-;
ORG_CPL_NUM_RET;-;
PMS_RET;-;
RNG_BEN;-;
RNG_BEN_RET;-;
RNG_NAI;-;
RNG_NAI_RET;-;
SEJ_MER_RET;-;
SEJ_NUM;-;
SEJ_RET;-;
SEX_RET;-;
SOR_DAT;-;
VID_HOSP_FOR;-;
ASS_DGN;-;
DGN_ASS_NUM;-;
ANN;-;
ETA_NUM_ENT;-;
MOI;-;
NBR_PRS;-;
PRS_COD;-;
PRS_TYP;-;
DAT_POS_ANN;-;
DELAI;-;
LPP_COD;-;
MOI_POS;-;
NBR_POS;-;
NBR_POS_PRI;-;
ANN_TRT;-;
REG_ETA;-;
SOC_RAI;-;
STA_ETA;-;
VAL_ETA;-;
COD_CIV;-;
COD_PEC;-;
CON_TYP;-;
EXO_TM;-;
FAC_ETL;-;
GES_COD;-;
HON_AM_MNR;-;
HON_MNT;-;
HON_OC_MNR;-;
NAT_ASS;-;
NOE_RGM;-;
NUM_FAC;-;
OPE_NAT;-;
PAS_OC_MNT;-;
PAT_CMU;-;
PH_AMO_MNR;-;
PH_BRM;-;
PH_MNT;-;
PH_OC_MNR;-;
RSF_TYP;-;
TYP_ART;-;
ACT_COD;-;
ACT_COE;-;
ACT_NBR;-;
AMC_MNR;-;
AMO_MNR;-;
DEL_DAT_ENT;-;
FAC_MNT;-;
FJ_COD_PEC;-;
MCO_COE;-;
NOE_MNR;-;
NOE_OPE;-;
PRI_UNI;-;
PSH_DMT;-;
PSH_MDT;-;
